condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,5.301000000000e-07,5.301000e-01,1.421205962247e-05,14.212060,13.713888,0.022306317,596.039261,2.076842e+05,207.684,35.787940
T=255K,5.401000000000e-07,5.401000e-01,1.434796066331e-05,14.347961,13.590104,0.022964714,595.638999,2.076842e+05,207.684,35.652039
T=255K,5.501000000000e-07,5.501000e-01,1.448265241120e-05,14.482652,13.469175,0.023629826,595.234656,2.076842e+05,207.684,35.517348
T=255K,5.601000000000e-07,5.601000e-01,1.461616250659e-05,14.616163,13.351010,0.024301569,594.826282,2.076842e+05,207.684,35.383837
T=255K,5.701000000000e-07,5.701000e-01,1.474851771658e-05,14.748518,13.235521,0.024979864,594.413924,2.076842e+05,207.684,35.251482
T=255K,5.801000000000e-07,5.801000e-01,1.487974396303e-05,14.879744,13.122625,0.025664636,593.997629,2.076842e+05,207.684,35.120256
T=255K,5.901000000000e-07,5.901000e-01,1.500986635059e-05,15.009866,13.012239,0.026355810,593.577442,2.076842e+05,207.684,34.990134
T=255K,6.001000000000e-07,6.001000e-01,1.513890919449e-05,15.138909,12.904284,0.027053313,593.153406,2.076842e+05,207.684,34.861091
T=255K,6.101000000000e-07,6.101000e-01,1.526689604785e-05,15.266896,12.798685,0.027757078,592.725565,2.076842e+05,207.684,34.733104
T=255K,6.201000000000e-07,6.201000e-01,1.539384972853e-05,15.393850,12.695368,0.028467035,592.293959,2.076842e+05,207.684,34.606150
T=255K,6.301000000000e-07,6.301000e-01,1.551979234529e-05,15.519792,12.594262,0.029183120,591.858627,2.076842e+05,207.684,34.480208
T=255K,6.401000000000e-07,6.401000e-01,1.564474532331e-05,15.644745,12.495298,0.029905268,591.419609,2.076842e+05,207.684,34.355255
T=255K,6.501000000000e-07,6.501000e-01,1.576872942895e-05,15.768729,12.398411,0.030633420,590.976943,2.076842e+05,207.684,34.231271
T=255K,6.601000000000e-07,6.601000e-01,1.589176479378e-05,15.891765,12.303536,0.031367513,590.530663,2.076842e+05,207.684,34.108235
T=255K,6.701000000000e-07,6.701000e-01,1.601387093781e-05,16.013871,12.210614,0.032107491,590.080806,2.076842e+05,207.684,33.986129
T=255K,6.801000000000e-07,6.801000e-01,1.613506679190e-05,16.135067,12.119585,0.032853297,589.627407,2.076842e+05,207.684,33.864933
T=255K,6.901000000000e-07,6.901000e-01,1.625537071946e-05,16.255371,12.030393,0.033604875,589.170497,2.076842e+05,207.684,33.744629
T=255K,7.001000000000e-07,7.001000e-01,1.637480053728e-05,16.374801,11.942982,0.034362173,588.710111,2.076842e+05,207.684,33.625199
T=255K,7.101000000000e-07,7.101000e-01,1.649337353562e-05,16.493374,11.857300,0.035125138,588.246280,2.076842e+05,207.684,33.506626
T=255K,7.201000000000e-07,7.201000e-01,1.661110649755e-05,16.611106,11.773296,0.035893720,587.779034,2.076842e+05,207.684,33.388894
T=255K,7.301000000000e-07,7.301000e-01,1.672801571755e-05,16.728016,11.690922,0.036667869,587.308403,2.076842e+05,207.684,33.271984
T=255K,7.401000000000e-07,7.401000e-01,1.684411701933e-05,16.844117,11.610130,0.037447538,586.834417,2.076842e+05,207.684,33.155883
T=255K,7.501000000000e-07,7.501000e-01,1.695942577298e-05,16.959426,11.530875,0.038232680,586.357104,2.076842e+05,207.684,33.040574
T=255K,7.601000000000e-07,7.601000e-01,1.707395691150e-05,17.073957,11.453114,0.039023248,585.876491,2.076842e+05,207.684,32.926043
