T0_K,time_us,R_um,Rdot_m_s,T_drop_K,film_thick_um,log10_time_us,Pb_bar,P_sat_bar
273.0,1.270000e+01,2.611948e+01,1.114587e+00,273.000000,5.638052e+01,1.103804,2.024016,4.294002
273.0,1.280000e+01,2.623072e+01,1.110069e+00,273.000000,5.626928e+01,1.107210,2.023893,4.294002
273.0,1.290000e+01,2.634150e+01,1.105605e+00,273.000000,5.615850e+01,1.110590,2.023771,4.294002
273.0,1.300000e+01,2.645184e+01,1.101194e+00,273.000000,5.604816e+01,1.113943,2.023652,4.294002
273.0,1.310000e+01,2.656175e+01,1.096835e+00,273.000000,5.593825e+01,1.117271,2.023534,4.294002
273.0,1.320000e+01,2.667122e+01,1.092527e+00,273.000000,5.582878e+01,1.120574,2.023417,4.294002
273.0,1.330000e+01,2.678026e+01,1.088269e+00,273.000000,5.571974e+01,1.123852,2.023302,4.294002
273.0,1.340000e+01,2.688888e+01,1.084060e+00,273.000000,5.561112e+01,1.127105,2.023189,4.294002
273.0,1.350000e+01,2.699708e+01,1.079899e+00,273.000000,5.550292e+01,1.130334,2.023077,4.294002
273.0,1.360000e+01,2.710486e+01,1.075785e+00,273.000000,5.539514e+01,1.133539,2.022967,4.294002
273.0,1.370000e+01,2.721224e+01,1.071718e+00,273.000000,5.528776e+01,1.136721,2.022858,4.294002
273.0,1.380000e+01,2.731921e+01,1.067695e+00,273.000000,5.518079e+01,1.139879,2.022751,4.294002
273.0,1.390000e+01,2.742578e+01,1.063718e+00,273.000000,5.507422e+01,1.143015,2.022645,4.294002
273.0,1.400000e+01,2.753196e+01,1.059784e+00,273.000000,5.496804e+01,1.146128,2.022546,4.294002
273.0,1.410000e+01,2.763775e+01,1.055919e+00,273.000000,5.486225e+01,1.149219,2.022548,4.294002
273.0,1.420000e+01,2.774315e+01,1.052184e+00,273.000000,5.475685e+01,1.152288,2.022678,4.294002
273.0,1.430000e+01,2.784819e+01,1.048642e+00,273.000000,5.465181e+01,1.155336,2.022931,4.294002
273.0,1.440000e+01,2.795289e+01,1.045352e+00,273.000000,5.454711e+01,1.158362,2.023298,4.294002
273.0,1.450000e+01,2.805728e+01,1.042365e+00,273.000000,5.444272e+01,1.161368,2.023773,4.294002
273.0,1.460000e+01,2.816138e+01,1.039729e+00,273.000000,5.433862e+01,1.164353,2.024348,4.294002
273.0,1.470000e+01,2.826524e+01,1.037487e+00,273.000000,5.423476e+01,1.167317,2.025015,4.294002
273.0,1.480000e+01,2.836889e+01,1.035677e+00,273.000000,5.413111e+01,1.170262,2.025766,4.294002
