1259 1259 2514
202 0 -0.000203003 -0.000146255
203 -3.39203e-05 -0.000197838 -0.000140747
204 -6.58264e-05 -0.000186317 -0.000135666
205 -9.44824e-05 -0.000169136 -0.000131126
206 -8.27026e-05 -2.53296e-05 -0.000112999
207 -0.000118858 -0.000147209 -0.000127258
208 -0.000138206 -0.000121643 -0.000124138
209 -0.000152084 -9.36508e-05 -0.000121857
210 -8.02612e-05 -3.22571e-05 -0.000112999
211 3.45459e-05 -0.000201462 -0.000152054
212 3.43094e-05 -0.000200089 -0.000146255
213 0 -0.000200722 -0.000140747
214 -3.33939e-05 -0.000194763 -0.000135666
215 -7.72324e-05 -3.89481e-05 -0.000112999
216 -6.4537e-05 -0.000182671 -0.000131126
217 -9.22699e-05 -0.000165176 -0.000127258
218 -0.000115662 -0.00014325 -0.000124138
219 -7.36542e-05 -4.53568e-05 -0.000112999
220 -0.000134071 -0.000118004 -0.000121857
221 6.80923e-05 -0.000192726 -0.000152054
222 9.96857e-05 -0.000178444 -0.000152054
223 6.76346e-05 -0.000191414 -0.000146255
224 -6.95419e-05 -5.14374e-05 -0.000112999
225 3.39279e-05 -0.000197838 -0.000140747
226 0 -0.000197609 -0.000135666
227 -3.27377e-05 -0.000190948 -0.000131126
228 -6.49338e-05 -5.71518e-05 -0.000112999
229 -6.30264e-05 -0.000178398 -0.000127258
230 -8.97903e-05 -0.000160736 -0.000124138
231 -0.000112206 -0.000138962 -0.000121857
232 9.90067e-05 -0.000177231 -0.000146255
233 -5.98526e-05 -6.24542e-05 -0.000112999
234 6.68716e-05 -0.000189262 -0.000140747
235 3.34015e-05 -0.000194763 -0.000135666
236 0 -0.000193733 -0.000131126
237 -5.43365e-05 -6.72989e-05 -0.000112999
238 -3.19748e-05 -0.000186478 -0.000127258
239 -6.13327e-05 -0.000173599 -0.000124138
240 -8.71048e-05 -0.00015593 -0.000121857
241 0.000127533 -0.000157944 -0.000146255
242 -4.8439e-05 -7.16705e-05 -0.000112999
243 9.78928e-05 -0.000175232 -0.000140747
244 6.5834e-05 -0.000186317 -0.000135666
245 3.27454e-05 -0.000190948 -0.000131126
246 -4.21829e-05 -7.55157e-05 -0.000112999
247 0 -0.000189201 -0.000127258
248 -3.11127e-05 -0.000181473 -0.000124138
249 -5.95016e-05 -0.000168404 -0.000121857
250 0.00015239 -0.000134125 -0.000146255
251 -3.56293e-05 -7.88269e-05 -0.000112999
252 0.000126099 -0.000156174 -0.000140747
253 9.63745e-05 -0.000172516 -0.000135666
254 6.45447e-05 -0.000182671 -0.000131126
255 -2.88162e-05 -8.15582e-05 -0.000112999
256 3.19748e-05 -0.000186478 -0.000127258
257 0 -0.00018412 -0.000124138
258 -3.01819e-05 -0.000176041 -0.000121857
259 0.000174049 -0.00010717 -0.000152054
260 -2.17972e-05 -8.37097e-05 -0.000112999
261 0.000189659 -7.621e-05 -0.000152054
262 0.000172867 -0.000106438 -0.000146255
263 0.000150681 -0.000132614 -0.000140747
264 -1.46332e-05 -8.53424e-05 -0.000114098
265 0.000124146 -0.000153748 -0.000135666
266 9.44824e-05 -0.000169136 -0.000131126
267 6.30341e-05 -0.000178398 -0.000127258
268 3.11203e-05 -0.000181473 -0.000124138
269 -7.33185e-06 -8.61893e-05 -0.000112999
270 0 -0.000178612 -0.000121857
271 0.00018837 -7.56912e-05 -0.000146255
272 0.000170921 -0.00010524 -0.000140747
273 0 -8.65021e-05 -0.000112999
274 0.000148338 -0.000130554 -0.000135666
275 0.000121712 -0.000150734 -0.000131126
276 9.22775e-05 -0.000165176 -0.000127258
277 6.13403e-05 -0.000173599 -0.000124138
278 7.33948e-06 -8.61893e-05 -0.000112999
279 3.01895e-05 -0.000176041 -0.000121857
280 0.000198448 -4.27704e-05 -0.000146255
281 0.000186249 -7.48444e-05 -0.000140747
282 1.46332e-05 -8.53424e-05 -0.000114098
283 0.000168274 -0.000103607 -0.000135666
284 0.000145432 -0.000127998 -0.000131126
285 0.000118858 -0.000147209 -0.000127258
286 8.9798e-05 -0.000160736 -0.000124138
287 2.17972e-05 -8.37097e-05 -0.000112999
288 5.95016e-05 -0.000168404 -0.000121857
289 0.00020282 -8.62122e-06 -0.000146255
290 0.00019622 -4.22897e-05 -0.000140747
291 2.88467e-05 -8.16422e-05 -0.000114098
292 0.000183357 -7.36847e-05 -0.000135666
293 0.00016497 -0.000101578 -0.000131126
294 0.000142029 -0.000125 -0.000127258
295 0.000115669 -0.00014325 -0.000124138
296 3.56293e-05 -7.88269e-05 -0.000112999
297 8.71048e-05 -0.00015593 -0.000121857
298 0.000201363 2.57797e-05 -0.000146255
299 0.000200546 -8.52203e-06 -0.000140747
300 4.21906e-05 -7.55157e-05 -0.000112999
301 0.000193176 -4.16336e-05 -0.000135666
302 0.000179764 -7.22351e-05 -0.000131126
303 0.00016111 -9.91974e-05 -0.000127258
304 0.000138214 -0.000121643 -0.000124138
305 4.8439e-05 -7.16705e-05 -0.000112999
306 0.000112206 -0.000138962 -0.000121857
307 0.000194107 5.94406e-05 -0.000146255
308 0.000199097 2.54898e-05 -0.000140747
309 5.43442e-05 -6.72989e-05 -0.000112999
310 0.000197433 -8.39233e-06 -0.000135666
